window_size,hidden_size,num_layers,n_epochs,learning_rate,mse_val
20,20,1,500,0.01,0.0001434651348972693
20,20,1,500,0.05,7.974426989676431e-05
20,20,1,500,0.001,0.00048574194079265
20,20,1,1000,0.01,9.140026668319479e-05
20,20,1,1000,0.05,8.377037011086941e-05
20,20,1,1000,0.001,0.0003205451648682356
20,20,1,1500,0.01,8.796078327577561e-05
20,20,1,1500,0.05,7.954709144541994e-05
20,20,1,1500,0.001,0.00027359763043932617
20,20,2,500,0.01,0.00036404404090717435
20,20,2,500,0.05,0.00015398410323541611
20,20,2,500,0.001,0.0005074597429484129
20,20,2,1000,0.01,9.20945021789521e-05
20,20,2,1000,0.05,7.522274972870946e-05
20,20,2,1000,0.001,0.0002735253656283021
20,20,2,1500,0.01,8.500521653331816e-05
20,20,2,1500,0.05,9.152726124739274e-05
20,20,2,1500,0.001,0.0002060586994048208
20,20,3,500,0.01,0.00038174181827344
20,20,3,500,0.05,0.00010706770262913778
20,20,3,500,0.001,0.000638594210613519
20,20,3,1000,0.01,0.00011129565973533317
20,20,3,1000,0.05,9.114226850215346e-05
20,20,3,1000,0.001,0.0002461893018335104
20,20,3,1500,0.01,8.733894355827942e-05
20,20,3,1500,0.05,0.00012211815919727087
20,20,3,1500,0.001,0.00018325814744457603
20,30,1,500,0.01,0.00012301838432904333
20,30,1,500,0.05,9.781371772987768e-05
20,30,1,500,0.001,0.0004129079170525074
20,30,1,1000,0.01,8.044760761549696e-05
20,30,1,1000,0.05,9.3982154794503e-05
20,30,1,1000,0.001,0.00028768842457793653
20,30,1,1500,0.01,8.34189704619348e-05
20,30,1,1500,0.05,7.751311204629019e-05
20,30,1,1500,0.001,0.00018328461737837642
20,30,2,500,0.01,0.00011304777581244707
20,30,2,500,0.05,8.988417539512739e-05
20,30,2,500,0.001,0.0003769780742004514
20,30,2,1000,0.01,8.476578659610823e-05
20,30,2,1000,0.05,8.69655268616043e-05
20,30,2,1000,0.001,0.00015539300511591136
20,30,2,1500,0.01,8.268225792562589e-05
20,30,2,1500,0.05,0.00010486281098565087
20,30,2,1500,0.001,0.00017167367332149297
20,30,3,500,0.01,0.00010016925807576627
20,30,3,500,0.05,0.0004590189491864294
20,30,3,500,0.001,0.0003637281188275665
20,30,3,1000,0.01,8.668821101309732e-05
20,30,3,1000,0.05,0.00010135745833395049
20,30,3,1000,0.001,0.00022391590755432844
20,30,3,1500,0.01,8.153817179845646e-05
20,30,3,1500,0.05,0.0004740418225992471
20,30,3,1500,0.001,0.00014466758875641972
20,40,1,500,0.01,0.00010381809988757595
20,40,1,500,0.05,9.608978871256113e-05
20,40,1,500,0.001,0.00039183965418487787
20,40,1,1000,0.01,8.46937473397702e-05
20,40,1,1000,0.05,0.0016218076925724745
20,40,1,1000,0.001,0.00021041989384684712
20,40,1,1500,0.01,8.250282553490251e-05
20,40,1,1500,0.05,7.958561764098704e-05
20,40,1,1500,0.001,0.00018403399735689163
20,40,2,500,0.01,8.92944517545402e-05
20,40,2,500,0.05,0.0001261442230315879
20,40,2,500,0.001,0.00033044861629605293
20,40,2,1000,0.01,7.841749174986035e-05
20,40,2,1000,0.05,0.0004108748980797827
20,40,2,1000,0.001,0.0001970392622752115
20,40,2,1500,0.01,8.045531285461038e-05
20,40,2,1500,0.05,0.00011982110299868509
20,40,2,1500,0.001,0.0001648931938689202
20,40,3,500,0.01,0.00011314293806208298
20,40,3,500,0.05,0.00018048602214548737
20,40,3,500,0.001,0.00032372362329624593
20,40,3,1000,0.01,8.162538870237768e-05
20,40,3,1000,0.05,0.0003095374268013984
20,40,3,1000,0.001,0.00016322580631822348
20,40,3,1500,0.01,8.780880307313055e-05
20,40,3,1500,0.05,0.00010668022878235206
20,40,3,1500,0.001,0.00012712730676867068
30,20,1,500,0.01,9.691406739875674e-05
30,20,1,500,0.05,0.00014010982704348862
30,20,1,500,0.001,0.0006178395706228912
30,20,1,1000,0.01,8.889460150385275e-05
30,20,1,1000,0.05,8.023521513678133e-05
30,20,1,1000,0.001,0.0004937502671964467
30,20,1,1500,0.01,0.00010127403220394626
30,20,1,1500,0.05,7.805038330843672e-05
30,20,1,1500,0.001,0.00023326744849327952
30,20,2,500,0.01,0.0001043306547217071
30,20,2,500,0.05,9.975177817977965e-05
30,20,2,500,0.001,0.0005140980938449502
30,20,2,1000,0.01,8.103059371933341e-05
30,20,2,1000,0.05,9.027638589031994e-05
30,20,2,1000,0.001,0.0002786690602079034
30,20,2,1500,0.01,8.164653991116211e-05
30,20,2,1500,0.05,0.23280425369739532
30,20,2,1500,0.001,0.00016663242422509938
30,20,3,500,0.01,9.720130037749186e-05
30,20,3,500,0.05,9.513732220511883e-05
30,20,3,500,0.001,0.0004910365678369999
30,20,3,1000,0.01,9.19539961614646e-05
30,20,3,1000,0.05,0.00010041730274679139
30,20,3,1000,0.001,0.0002728002145886421
30,20,3,1500,0.01,8.755405724514276e-05
30,20,3,1500,0.05,0.003688970347866416
30,20,3,1500,0.001,0.000142743403557688
30,30,1,500,0.01,0.00010604975250316784
30,30,1,500,0.05,7.547708810307086e-05
30,30,1,500,0.001,0.0003375335072632879
30,30,1,1000,0.01,8.799357601674274e-05
30,30,1,1000,0.05,0.0002814509207382798
30,30,1,1000,0.001,0.0002538521366659552
30,30,1,1500,0.01,9.309141751145944e-05
30,30,1,1500,0.05,9.267097630072385e-05
30,30,1,1500,0.001,0.00021165759244468063
