window_size,hidden_size,num_layers,n_epochs,learning_rate,mse_val
20,20,1,500,0.01,0.0002411373716313392
20,20,1,500,0.05,0.00020555767696350813
20,20,1,500,0.001,0.0007108794525265694
20,20,1,1000,0.01,0.00020801856589969248
20,20,1,1000,0.05,0.0001533838949399069
20,20,1,1000,0.001,0.0003861612640321255
20,20,1,1500,0.01,0.00020053115440532565
20,20,1,1500,0.05,0.00017650355584919453
20,20,1,1500,0.001,0.00028827021014876664
20,20,2,500,0.01,0.00019881250045727938
20,20,2,500,0.05,0.0001979109219973907
20,20,2,500,0.001,0.0004649406182579696
20,20,2,1000,0.01,0.0001935477484948933
20,20,2,1000,0.05,0.00020944866992067546
20,20,2,1000,0.001,0.00033282500226050615
20,20,2,1500,0.01,0.00017381401266902685
20,20,2,1500,0.05,0.00018323578115087003
20,20,2,1500,0.001,0.00025261339033022523
20,20,3,500,0.01,0.00019235096988268197
20,20,3,500,0.05,0.00020933605264872313
20,20,3,500,0.001,0.0006708503933623433
20,20,3,1000,0.01,0.00019710826745722443
20,20,3,1000,0.05,0.0003873631649184972
20,20,3,1000,0.001,0.00038279927684925497
20,20,3,1500,0.01,0.000169291059137322
20,20,3,1500,0.05,0.0001845521474024281
20,20,3,1500,0.001,0.00023330168914981186
20,30,1,500,0.01,0.0002057142846751958
20,30,1,500,0.05,0.00018820579862222075
20,30,1,500,0.001,0.0003902676689904183
20,30,1,1000,0.01,0.00018808878667186946
20,30,1,1000,0.05,0.000668591819703579
20,30,1,1000,0.001,0.00037041373434476554
20,30,1,1500,0.01,0.00018493506649974734
20,30,1,1500,0.05,0.00017956204828806221
20,30,1,1500,0.001,0.00027638356550596654
20,30,2,500,0.01,0.00019346317276358604
20,30,2,500,0.05,0.00019654525385703892
20,30,2,500,0.001,0.00044375634752213955
20,30,2,1000,0.01,0.0002076691744150594
20,30,2,1000,0.05,0.0001890717976493761
20,30,2,1000,0.001,0.0003137621097266674
20,30,2,1500,0.01,0.00016660556138958782
20,30,2,1500,0.05,0.00023981921549420804
20,30,2,1500,0.001,0.0002762418589554727
20,30,3,500,0.01,0.0001770593225955963
20,30,3,500,0.05,0.00040317646926268935
20,30,3,500,0.001,0.000484992255223915
20,30,3,1000,0.01,0.0031912673730403185
20,30,3,1000,0.05,0.00022926463861949742
20,30,3,1000,0.001,0.0002846627321559936
20,30,3,1500,0.01,0.00018762420222628862
20,30,3,1500,0.05,0.0001410192926414311
20,30,3,1500,0.001,0.00019961065845564008
20,40,1,500,0.01,0.00019042064377572387
20,40,1,500,0.05,0.0008712075650691986
20,40,1,500,0.001,0.00040860974695533514
20,40,1,1000,0.01,0.0001697187835816294
20,40,1,1000,0.05,0.0001536042254883796
20,40,1,1000,0.001,0.0002778223715722561
20,40,1,1500,0.01,0.00017526582814753056
20,40,1,1500,0.05,0.00016231625340878963
20,40,1,1500,0.001,0.0002427421131869778
20,40,2,500,0.01,0.00018594060384202749
20,40,2,500,0.05,0.0006880031432956457
20,40,2,500,0.001,0.00033980002626776695
20,40,2,1000,0.01,0.0001753737305989489
20,40,2,1000,0.05,0.00018726765119936317
20,40,2,1000,0.001,0.0002622327592689544
20,40,2,1500,0.01,0.0002136930706910789
20,40,2,1500,0.05,0.0001798262819647789
20,40,2,1500,0.001,0.00022899539908394217
20,40,3,500,0.01,0.0001675575622357428
20,40,3,500,0.05,0.0030014680232852697
20,40,3,500,0.001,0.0003865721810143441
20,40,3,1000,0.01,0.00018934383115265518
20,40,3,1000,0.05,0.0023722450714558363
20,40,3,1000,0.001,0.0002719833282753825
20,40,3,1500,0.01,0.0001976825442397967
20,40,3,1500,0.05,0.00342661258764565
20,40,3,1500,0.001,0.0002084493899019435
30,20,1,500,0.01,0.00021271180594339967
30,20,1,500,0.05,0.00019421848992351443
30,20,1,500,0.001,0.0005334293236956
30,20,1,1000,0.01,0.00021631653362419456
30,20,1,1000,0.05,0.00017357664182782173
30,20,1,1000,0.001,0.00036295520840212703
30,20,1,1500,0.01,0.00017034502525348216
30,20,1,1500,0.05,0.00016576683265157044
30,20,1,1500,0.001,0.0003144933143630624
30,20,2,500,0.01,0.00019224635616410524
30,20,2,500,0.05,0.00017982814460992813
30,20,2,500,0.001,0.0004982285317964852
30,20,2,1000,0.01,0.00021436192037072033
30,20,2,1000,0.05,0.00017206888878718019
30,20,2,1000,0.001,0.0003590314881876111
30,20,2,1500,0.01,0.00019314613018650562
30,20,2,1500,0.05,0.00028315852978266776
30,20,2,1500,0.001,0.0002521175774745643
30,20,3,500,0.01,0.00018746800196822733
30,20,3,500,0.05,0.00019694611546583474
30,20,3,500,0.001,0.0005759192281402647
30,20,3,1000,0.01,0.00019052447169087827
30,20,3,1000,0.05,0.0003160785126965493
30,20,3,1000,0.001,0.00039330084109678864
30,20,3,1500,0.01,0.00017256688443012536
30,20,3,1500,0.05,0.0002129954082192853
30,20,3,1500,0.001,0.0002432645851513371
30,30,1,500,0.01,0.00019493188301566988
30,30,1,500,0.05,0.00022044226352591068
30,30,1,500,0.001,0.0004679583653341979
30,30,1,1000,0.01,0.00018511021335143596
30,30,1,1000,0.05,0.00015922426246106625
30,30,1,1000,0.001,0.0003444644098635763
30,30,1,1500,0.01,0.00020523804414551705
30,30,1,1500,0.05,0.0005340627976693213
30,30,1,1500,0.001,0.00028893016860820353
30,30,2,500,0.01,0.0001864283112809062
30,30,2,500,0.05,0.00018455382087267935
30,30,2,500,0.001,0.0003502238541841507
30,30,2,1000,0.01,0.00018737904611043632
30,30,2,1000,0.05,0.0002626575296744704
30,30,2,1000,0.001,0.0003528389206621796
30,30,2,1500,0.01,0.00016832184337545186
30,30,2,1500,0.05,0.00048033808707259595
30,30,2,1500,0.001,0.0002211777464253828
30,30,3,500,0.01,0.00022842231555841863
30,30,3,500,0.05,0.0001900990610010922
30,30,3,500,0.001,0.0004972016904503107
30,30,3,1000,0.01,0.00017546821618452668
30,30,3,1000,0.05,0.00016687644529156387
30,30,3,1000,0.001,0.0003547691158019006
30,30,3,1500,0.01,0.00019347883062437177
30,30,3,1500,0.05,0.00021749649022240192
30,30,3,1500,0.001,0.0002096287062158808
30,40,1,500,0.01,0.00019985812832601368
30,40,1,500,0.05,0.00022757805709261447
30,40,1,500,0.001,0.0003841055149678141
30,40,1,1000,0.01,0.00016404635971412063
30,40,1,1000,0.05,0.00020312584820203483
30,40,1,1000,0.001,0.00027261031209491193
30,40,1,1500,0.01,0.00016856170259416103
30,40,1,1500,0.05,0.00027500157011672854
30,40,1,1500,0.001,0.0002675732830539346
30,40,2,500,0.01,0.00036230988916940987
30,40,2,500,0.05,0.00017626711633056402
30,40,2,500,0.001,0.0004250260826665908
30,40,2,1000,0.01,0.00019801351299975067
30,40,2,1000,0.05,0.00017763137293513864
30,40,2,1000,0.001,0.00027919813874177635
30,40,2,1500,0.01,0.00017478839436080307
30,40,2,1500,0.05,0.0006454162648878992
30,40,2,1500,0.001,0.00020576344104483724
30,40,3,500,0.01,0.0003119537141174078
30,40,3,500,0.05,0.00031468860106542706
30,40,3,500,0.001,0.00040053974953480065
30,40,3,1000,0.01,0.00020028252038173378
30,40,3,1000,0.05,0.00018404427100904286
30,40,3,1000,0.001,0.00023751995468046516
30,40,3,1500,0.01,0.00017674236733000726
30,40,3,1500,0.05,0.00019747561600524932
30,40,3,1500,0.001,0.00023330911062657833
40,20,1,500,0.01,0.000216922810068354
40,20,1,500,0.05,0.00020732182019855827
40,20,1,500,0.001,0.0005706207593902946
40,20,1,1000,0.01,0.00025977377663366497
40,20,1,1000,0.05,0.0001742303866194561
40,20,1,1000,0.001,0.0003928577934857458
40,20,1,1500,0.01,0.00020187190966680646
40,20,1,1500,0.05,0.0001559427473694086
40,20,1,1500,0.001,0.000283499393844977
40,20,2,500,0.01,0.0002621114836074412
40,20,2,500,0.05,0.0001900408387882635
40,20,2,500,0.001,0.0005046384176239371
40,20,2,1000,0.01,0.0001868283870862797
40,20,2,1000,0.05,0.0004564819682855159
40,20,2,1000,0.001,0.0003875891270581633
40,20,2,1500,0.01,0.00019791809609159827
40,20,2,1500,0.05,0.0005335115129128098
40,20,2,1500,0.001,0.0003081481554545462
40,20,3,500,0.01,0.0002052052441285923
40,20,3,500,0.05,0.00020956237858626992
40,20,3,500,0.001,0.0005840443773195148
40,20,3,1000,0.01,0.00018319756782148033
40,20,3,1000,0.05,0.0006221801158972085
40,20,3,1000,0.001,0.0003152567078359425
40,20,3,1500,0.01,0.00014678297156933695
40,20,3,1500,0.05,0.0002829321310855448
40,20,3,1500,0.001,0.000278567080385983
40,30,1,500,0.01,0.00020223550382070243
40,30,1,500,0.05,0.0001727182389004156
40,30,1,500,0.001,0.0004641656414605677
40,30,1,1000,0.01,0.00017574155936017632
40,30,1,1000,0.05,0.00016741400759201497
40,30,1,1000,0.001,0.00032875529723241925
40,30,1,1500,0.01,0.0001732676028041169
40,30,1,1500,0.05,0.00013681886775884777
40,30,1,1500,0.001,0.00026375256129540503
40,30,2,500,0.01,0.00016270247579086572
40,30,2,500,0.05,0.00017315192962996662
40,30,2,500,0.001,0.0005989157943986356
40,30,2,1000,0.01,0.00017870032752398401
40,30,2,1000,0.05,0.00019328737107571214
40,30,2,1000,0.001,0.00037805020110681653
40,30,2,1500,0.01,0.00016750558279454708
40,30,2,1500,0.05,0.0005553592345677316
40,30,2,1500,0.001,0.00025668146554380655
40,30,3,500,0.01,0.0002610842348076403
40,30,3,500,0.05,0.00021601143816951662
40,30,3,500,0.001,0.0004296120023354888
40,30,3,1000,0.01,0.0002868842566385865
40,30,3,1000,0.05,0.00018158002058044076
40,30,3,1000,0.001,0.0002558667620178312
40,30,3,1500,0.01,0.0001806944201234728
40,30,3,1500,0.05,0.00021458856645040214
40,30,3,1500,0.001,0.00022581555822398514
40,40,1,500,0.01,0.00020549252803903073
40,40,1,500,0.05,0.00018241080397274345
40,40,1,500,0.001,0.0004280505236238241
40,40,1,1000,0.01,0.00023911730386316776
40,40,1,1000,0.05,0.00020929421589244157
40,40,1,1000,0.001,0.00032883003586903214
40,40,1,1500,0.01,0.00019894749857485294
40,40,1,1500,0.05,0.00016756630793679506
40,40,1,1500,0.001,0.0002601855085231364
40,40,2,500,0.01,0.00019838550360873342
40,40,2,500,0.05,0.0001554525370011106
40,40,2,500,0.001,0.00036937333061359823
40,40,2,1000,0.01,0.0001749623188516125
40,40,2,1000,0.05,0.00020122046407777816
40,40,2,1000,0.001,0.0002583565947134048
40,40,2,1500,0.01,0.00021476119582075626
40,40,2,1500,0.05,0.0002447246224619448
40,40,2,1500,0.001,0.0002085075102513656
40,40,3,500,0.01,0.00019175441411789507
40,40,3,500,0.05,0.0003213128075003624
40,40,3,500,0.001,0.0004724416066892445
40,40,3,1000,0.01,0.00014464400010183454
40,40,3,1000,0.05,0.00015677552437409759
40,40,3,1000,0.001,0.0002699403266888112
40,40,3,1500,0.01,0.00015013880329206586
40,40,3,1500,0.05,0.00022658210946246982
40,40,3,1500,0.001,0.0002219552843598649
