window_size,hidden_size,num_layers,n_epochs,learning_rate,mse_val
20,20,1,500,0.01,0.0001617216767044738
20,20,1,500,0.05,0.00012109676754334942
20,20,1,500,0.001,0.0006337065133266151
20,20,1,1000,0.01,0.00010799706069519743
20,20,1,1000,0.05,9.82945566647686e-05
20,20,1,1000,0.001,0.00031391691300086677
20,20,1,1500,0.01,9.984144708141685e-05
20,20,1,1500,0.05,8.743366197450086e-05
20,20,1,1500,0.001,0.00023255353153217584
20,20,2,500,0.01,0.00017027229478117079
20,20,2,500,0.05,0.00010473476868355647
20,20,2,500,0.001,0.0006621000356972218
20,20,2,1000,0.01,0.00011355800234014168
20,20,2,1000,0.05,9.019738354254514e-05
20,20,2,1000,0.001,0.0003060545714106411
20,20,2,1500,0.01,0.00015056856500450522
20,20,2,1500,0.05,9.886841144179925e-05
20,20,2,1500,0.001,0.00023921803222037852
20,20,3,500,0.01,0.0001480739301769063
20,20,3,500,0.05,9.925619087880477e-05
20,20,3,500,0.001,0.0005439090891741216
20,20,3,1000,0.01,0.00011225978232687339
20,20,3,1000,0.05,9.65437720878981e-05
20,20,3,1000,0.001,0.00035937895881943405
20,20,3,1500,0.01,0.00011046416329918429
20,20,3,1500,0.05,0.0016725751338526607
20,20,3,1500,0.001,0.0002250551915494725
20,30,1,500,0.01,0.0001398421445628628
20,30,1,500,0.05,0.00012111456453567371
20,30,1,500,0.001,0.00048514213995076716
20,30,1,1000,0.01,0.00011494311183923855
20,30,1,1000,0.05,9.054877591552213e-05
20,30,1,1000,0.001,0.00029853233718313277
20,30,1,1500,0.01,0.00011344191443640739
20,30,1,1500,0.05,8.577319385949522e-05
20,30,1,1500,0.001,0.00021684032981283963
20,30,2,500,0.01,0.00014012266183272004
20,30,2,500,0.05,0.00012614301522262394
20,30,2,500,0.001,0.0004336351703386754
20,30,2,1000,0.01,0.00012308612349443138
20,30,2,1000,0.05,9.924516052706167e-05
20,30,2,1000,0.001,0.0002640302700456232
20,30,2,1500,0.01,9.578742174198851e-05
20,30,2,1500,0.05,0.0013487376272678375
20,30,2,1500,0.001,0.00020885241974610835
20,30,3,500,0.01,0.00014385164831764996
20,30,3,500,0.05,0.00017891127208713442
20,30,3,500,0.001,0.0004789494851138443
20,30,3,1000,0.01,0.000108481923234649
20,30,3,1000,0.05,9.955871064448729e-05
20,30,3,1000,0.001,0.00024324143305420876
20,30,3,1500,0.01,9.63725833571516e-05
20,30,3,1500,0.05,0.00010448043758515269
20,30,3,1500,0.001,0.00018048612400889397
20,40,1,500,0.01,0.00014339898189064115
20,40,1,500,0.05,0.00011520461703184992
20,40,1,500,0.001,0.0004621797415893525
20,40,1,1000,0.01,0.00011446239659562707
20,40,1,1000,0.05,0.00010666437447071075
20,40,1,1000,0.001,0.00028194376500323415
20,40,1,1500,0.01,9.050379594555125e-05
20,40,1,1500,0.05,8.679217717144638e-05
20,40,1,1500,0.001,0.00021493043459486216
20,40,2,500,0.01,0.00013180215319152921
20,40,2,500,0.05,0.00013613123155664653
20,40,2,500,0.001,0.00034728183527477086
20,40,2,1000,0.01,0.00028368658968247473
20,40,2,1000,0.05,0.00011699619790306315
20,40,2,1000,0.001,0.00030127036734484136
20,40,2,1500,0.01,9.809349285205826e-05
20,40,2,1500,0.05,9.03107866179198e-05
20,40,2,1500,0.001,0.00017887639114633203
20,40,3,500,0.01,0.0001308508071815595
20,40,3,500,0.05,0.0002030770992860198
20,40,3,500,0.001,0.0003852500522043556
20,40,3,1000,0.01,0.00011738506145775318
20,40,3,1000,0.05,0.00017325107182841748
20,40,3,1000,0.001,0.00018326514691580087
20,40,3,1500,0.01,9.562845662003383e-05
20,40,3,1500,0.05,0.00012929135118611157
20,40,3,1500,0.001,0.00013326686166692525
30,20,1,500,0.01,0.00016859639436006546
30,20,1,500,0.05,0.00010739076242316514
30,20,1,500,0.001,0.0006218673079274595
30,20,1,1000,0.01,0.00010578483488643542
30,20,1,1000,0.05,9.715806663734838e-05
30,20,1,1000,0.001,0.0003345537406858057
30,20,1,1500,0.01,0.00010425262007629499
30,20,1,1500,0.05,7.975630433065817e-05
30,20,1,1500,0.001,0.00038212171057239175
30,20,2,500,0.01,0.00015329336747527122
30,20,2,500,0.05,0.0011206693015992641
30,20,2,500,0.001,0.0005248459056019783
30,20,2,1000,0.01,0.00010427526285639033
30,20,2,1000,0.05,8.795610483502969e-05
30,20,2,1000,0.001,0.00038896786281839013
30,20,2,1500,0.01,9.346308797830716e-05
30,20,2,1500,0.05,9.271634189644828e-05
30,20,2,1500,0.001,0.0002064542204607278
30,20,3,500,0.01,9.860298450803384e-05
30,20,3,500,0.05,0.00010632539488142356
30,20,3,500,0.001,0.0007960195071063936
30,20,3,1000,0.01,8.46430630190298e-05
30,20,3,1000,0.05,0.00010908213880611584
30,20,3,1000,0.001,0.0003099188324995339
30,20,3,1500,0.01,0.0001827410887926817
30,20,3,1500,0.05,0.0002648745139595121
30,20,3,1500,0.001,0.00015481568698305637
30,30,1,500,0.01,0.00014615496911574155
30,30,1,500,0.05,0.00011305695079499856
