High_pred,Low_pred,Close_pred,High,Low,Close
313.08542,306.8787,310.0106,789.63,775.8,786.14
312.32233,306.87036,309.58844,791.34,783.16,786.9
310.94543,305.95288,308.78647,794.48,785.02,794.02
305.63965,300.7769,303.66046,807.9000000000001,792.2,806.15
305.90024,299.83444,303.63156,809.97,802.83,806.65
305.86087,301.2869,303.48444,809.1300000000001,803.51,804.79
304.68457,299.939,302.86136,808.1500000000001,801.37,807.91
302.46167,296.8018,300.2636,807.3900000000001,799.17,806.36
305.49475,300.55243,303.22726,811.22,806.69,807.88
309.18082,303.63223,306.8025,807.1400000000001,800.37,804.61
310.5966,304.6971,307.89453,806.21,800.99,806.07
312.06207,306.61624,309.43103,809.48,801.8,802.17
313.71295,307.84198,311.11664,806.9100000000001,801.69,805.02
317.08643,311.693,314.42075,820.8700000000001,803.74,819.31
317.8728,313.0391,315.68475,825.9000000000001,817.82,823.87
321.3065,315.47986,318.94852,835.77,825.06,835.67
324.63507,318.9522,321.90887,838.0,827.01,832.15
323.75723,318.55164,321.3101,841.95,820.44,823.31
324.55396,319.27115,322.32013,815.8400000000001,799.8,802.32
327.18146,321.67682,324.84573,801.25,790.52,796.79
329.2911,323.46997,326.66876,,,
326.79495,321.60654,324.26416,,,
322.45956,316.89697,320.15808,,,
324.39114,318.74054,322.00458,,,
321.55716,316.36975,319.1405,,,
317.67825,312.873,315.64624,,,
317.02707,311.55914,314.9145,,,
318.6367,313.30927,316.2363,,,
318.29565,312.75476,315.7841,,,
321.91373,316.42834,319.43127,,,
327.9478,319.93506,324.31882,,,
315.11523,307.67636,310.26523,,,
307.54077,301.9476,303.91995,,,
306.2048,301.59244,303.7791,,,
303.6303,299.10147,301.6356,,,
304.06802,298.87238,301.82983,,,
299.86008,295.0566,297.42276,,,
300.60736,295.90863,298.48126,,,
302.96927,297.9801,300.79327,,,
306.24973,301.13693,303.9886,,,
309.04343,303.5716,306.61334,311.68,307.92,310.0399600399601
307.75104,302.66522,305.36563,310.83,309.0,309.46553446553446
303.96246,298.1527,301.56717,310.08,304.55,305.979020979021
303.17627,297.61615,300.77863,303.27,295.81,301.34865134865134
305.8245,300.40823,303.52466,304.45,301.8,302.2677322677323
305.3259,299.79642,302.94098,304.61,302.04,302.43756243756246
299.9506,294.42737,297.56482,304.81,298.88,299.00599400599407
304.92093,299.123,302.54767,302.37,298.51,301.4435564435565
306.30972,300.23697,303.5298,307.77,301.64,307.73726273726277
307.7989,301.9725,305.03885,310.23,305.58,306.84315684315686
306.59976,301.44547,304.22217,310.59,306.27,309.4055944055944
302.8282,297.34882,300.64008,311.79,308.87,311.3536463536464
304.48203,299.16776,302.28418,317.45,309.46,315.80419580419584
309.92554,304.23004,307.4722,316.84,312.46,315.5644355644356
319.3828,311.73013,315.9346,322.49,315.07,318.7962037962038
314.67572,308.78174,310.9192,323.19,314.32,321.8181818181818
303.84567,296.51666,300.50784,323.04,319.25,320.09490509490513
308.88965,303.2923,305.94257,323.53,318.58,323.4515484515485
302.24182,296.9991,299.669,325.53,321.2,322.3026973026973
305.82874,300.1148,303.45676,328.07,324.32,326.6533466533467
301.83386,297.32498,299.43314,327.07,320.95,322.99200799200804
299.87912,294.0443,297.6805,325.52,319.3,319.4205794205795
297.01657,291.98334,294.48438,322.54,316.23,322.25274725274727
295.73523,290.94086,293.6722,322.77,318.13,320.10989010989016
289.7209,284.3137,287.5545,318.31,314.37,316.3886113886114
288.19452,282.83795,285.9458,317.03,313.11,314.98001998002
290.26288,284.9931,287.83398,316.48,311.48,314.2407592407593
289.0041,283.78644,286.63202,316.07,311.11,312.2577422577423
293.77353,288.3135,291.46753,316.81,314.47,316.7932067932068
289.3024,284.36612,286.97192,325.35,318.93,324.29070929070934
292.15082,287.13684,290.26877,323.28,310.61,311.13386613386615
287.2044,281.55164,284.88712,310.74,299.71,301.9030969030969
284.44406,278.6683,282.0536,307.69,302.37,303.64635364635365
282.98846,277.91632,280.63577,305.26,300.28,302.5924075924076
282.0873,276.6498,279.9678,306.98,298.38,298.53146853146853
283.81577,278.06805,281.4532,303.29,296.8,296.91808191808195
